"Cód. Pergunta","Pergunta","Opção A","Opção B","Opção C","Opção D","Correta","Referência Bíblica","Texto Bíblico Transcrito (TNM)"
10021,"Que instrumento musical Davi tocava para acalmar o Rei Saul?","Harpa","Flauta","Tambor","Lira","Harpa","1 Samuel 16:23","Sempre que o espírito mau da parte de Deus vinha sobre Saul, Davi pegava a harpa e a tocava. Saul sentia alívio e ficava bom, e o espírito mau se retirava dele."
10022,"Quantos apóstolos Jesus escolheu dentre seus discípulos?","Doze","Sete","Três","Setenta","Doze","Mateus 10:2","Os nomes dos doze apóstolos são: primeiro, Simão, o chamado Pedro, e André, seu irmão..."
10023,"Quem foi vendido como escravo por seus irmãos por ciúmes?","José","Isaque","Jacó","Esaú","José","Gênesis 37:28","Assim, quando os mercadores midianitas passaram por ali, eles tiraram José da cisterna e o venderam aos ismaelitas por 20 peças de prata."
10024,"Que profeta ungiu Davi como futuro rei de Israel enquanto ele ainda era um jovem pastor?","Samuel","Natã","Elias","Isaías","Samuel","1 Samuel 16:13","Então Samuel pegou o chifre de óleo e o ungiu no meio dos seus irmãos. E o espírito de Jeová capacitou Davi daquele dia em diante."
10025,"Qual é o primeiro livro da Bíblia, que relata a criação?","Gênesis","Êxodo","Levítico","Mateus","Gênesis","Gênesis 1:1","No princípio Deus criou os céus e a terra."
10026,"Quem realizou o batismo de Jesus no Rio Jordão?","João Batista","Pedro","Ananias","Paulo","João Batista","Mateus 3:13","Então Jesus foi da Galileia para o Jordão, a fim de ser batizado por João."
10027,"Qual era o nome do gigante filisteu que foi derrotado por Davi com uma funda e uma pedra?","Golias","Og","Siom","Laquis","Golias","1 Samuel 17:49-50","(49) Davi enfiou a mão na sua bolsa, pegou uma pedra e a atirou com a funda, atingindo o filisteu na testa... (50) Assim, Davi, com uma funda e uma pedra, foi mais forte que o filisteu; ele o derrubou e o matou."
10028,"Que rainha usou sua posição para salvar seu povo, os judeus, de um plano de extermínio?","Ester","Rute","Jezabel","Atalia","Ester","Ester 7:3","A rainha Ester respondeu: “Se eu achei favor aos seus olhos, ó rei, e se for do agrado do rei, peço que a minha vida me seja dada, e peço também o meu povo.”"
10029,"Quem, a caminho de Damasco, ficou cego por uma luz do céu e se converteu, tornando-se o apóstolo Paulo?","Saulo","Pedro","Tiago","João","Saulo","Atos 9:3-4, 8","(3) Enquanto viajava, aproximando-se de Damasco, de repente uma luz vinda do céu brilhou ao seu redor, (4) e ele caiu no chão... (8) Saulo se levantou do chão e, embora os seus olhos estivessem abertos, ele não via nada."
10030,"Qual era a profissão de Pedro e André antes de se tornarem apóstolos de Jesus?","Pescadores","Carpinteiros","Cobradores de impostos","Lavradores","Pescadores","Mateus 4:18","Andando à beira do mar da Galileia, ele viu dois irmãos, Simão, que é chamado Pedro, e André, seu irmão, lançando uma rede de pesca ao mar, pois eram pescadores."
10031,"Qual foi a primeira das Dez Pragas que Jeová enviou sobre o Egito?","As águas do Nilo se tornaram sangue","Rãs","Moscas-varejeiras","Piolhos","As águas do Nilo se tornaram sangue","Êxodo 7:20","...e ele levantou o bastão e golpeou a água do rio Nilo, à vista de Faraó e dos seus servos, e toda a água do rio se transformou em sangue."
10032,"Qual era o nome da mãe de Samuel, que orou a Jeová por um filho?","Ana","Penina","Isabel","Maria","Ana","1 Samuel 1:20","E, antes do fim do ano, Ana ficou grávida e deu à luz um filho; ela o chamou de Samuel, pois disse: “É de Jeová que o pedi.”"
10033,"Como se chamava o jardim onde Adão e Eva viveram no início?","Éden","Getsêmani","Paraíso","Hespérides","Éden","Gênesis 2:8","Jeová Deus plantou um jardim no Éden, no leste, e ali pôs o homem que ele havia formado."
10034,"A quem Deus deu sabedoria e discernimento incomparáveis para julgar seu povo?","Salomão","Davi","Daniel","José","Salomão","1 Reis 3:12","farei o que você pediu. Eu lhe darei um coração sábio e criterioso, de modo que nunca tenha havido ninguém como você, nem haverá depois de você."
10035,"Em que lugar, também conhecido como 'Lugar da Caveira', Jesus foi pregado na estaca?","Gólgota","Monte das Oliveiras","Monte Sinai","Monte Carmelo","Gólgota","João 19:17","Ele, carregando a sua própria estaca de tortura, saiu para o chamado Lugar da Caveira, que em hebraico é chamado de Gólgota."
10036,"A esposa de quem se transformou numa coluna de sal por olhar para trás ao fugir de Sodoma?","Ló","Abraão","Noé","Jacó","Ló","Gênesis 19:26","Mas a esposa de Ló, que vinha atrás dele, olhou para trás e se transformou numa coluna de sal."
10037,"Quem era o pai de João Batista?","Zacarias","Simeão","José","Joaquim","Zacarias","Lucas 1:5, 13","(5) Nos dias de Herodes, rei da Judeia, havia um sacerdote chamado Zacarias... (13) ...o anjo lhe disse: “Não tenha medo, Zacarias, pois a sua súplica foi ouvida, e a sua esposa, Isabel, lhe dará um filho, e você o chamará de João.”"
10038,"Qual é considerado o menor livro das Escrituras Gregas Cristãs (Novo Testamento) em contagem de palavras?","3 João","2 João","Filemom","Obadias","3 João","(Análise estrutural dos livros)"
10039,"Que profeta foi enviado por Jeová para confrontar o Rei Davi sobre seu pecado com Bate-Seba?","Natã","Samuel","Elias","Isaías","Natã","2 Samuel 12:7","Então Natã disse a Davi: “Esse homem é você! Assim diz Jeová, o Deus de Israel: ‘Fui eu que o ungi como rei sobre Israel...’”"
10040,"Qual era o nome das duas irmãs de Lázaro, a quem Jesus amava?","Marta e Maria","Susana e Joana","Priscila e Lídia","Trifena e Trifosa","Marta e Maria","João 11:1","Havia um homem doente, Lázaro, de Betânia, o povoado de Maria e de sua irmã Marta."
10041,"Quantos livros compõem as Escrituras Gregas Cristãs (Novo Testamento)?","27","39","66","12","27","(Cânon bíblico)"
10042,"Quem foi o primeiro seguidor de Cristo a ser morto por sua fé, tornando-se o primeiro mártir cristão?","Estêvão","Tiago","Pedro","Paulo","Estêvão","Atos 7:59-60","(59) Enquanto o apedrejavam, Estêvão fez o seguinte apelo: “Senhor Jesus, recebe o meu espírito.” (60) Então, ajoelhando-se, clamou com voz alta: “Jeová, não os culpes por este pecado.” E, dizendo isso, adormeceu na morte."
10043,"Para qual cidade Jonas foi enviado por Jeová para pregar uma mensagem de julgamento?","Nínive","Babilônia","Társis","Jericó","Nínive","Jonas 1:2","“Levante-se, vá a Nínive, a grande cidade, e anuncie o julgamento contra ela, pois a sua maldade chegou até mim.”"
10044,"Qual César governava o Império Romano quando João Batista e Jesus iniciaram seus ministérios?","Tibério César","Augusto César","Nero","Cláudio","Tibério César","Lucas 3:1","No 15.º ano do reinado de Tibério César, quando Pôncio Pilatos era governador da Judeia..."
10045,"Que anjo anunciou a Maria que ela daria à luz o Filho de Deus?","Gabriel","Miguel","Rafael","Uriel","Gabriel","Lucas 1:26-28","(26) ...o anjo Gabriel foi enviado por Deus a uma cidade da Galileia chamada Nazaré, (27) a uma virgem que estava prometida em casamento a um homem chamado José... o nome da virgem era Maria. (28) E, entrando onde ela estava, o anjo disse: “Alegre-se, mulher altamente favorecida, Jeová está com você.”"
10046,"Qual foi o sinal que Deus estabeleceu com Noé, como um pacto de que nunca mais destruiria toda a vida com um dilúvio?","O arco-íris","Uma pomba","Uma nuvem","Fogo","O arco-íris","Gênesis 9:13","Ponho o meu arco-íris na nuvem, e ele servirá de sinal do pacto entre mim e a terra."
10047,"Qual apóstolo escreveu o maior número de livros das Escrituras Gregas Cristãs?","Paulo","Pedro","João","Lucas","Paulo","(Autoria dos livros do Novo Testamento)"
10048,"Que cobrador de impostos Jesus chamou para ser um de seus apóstolos?","Mateus","Zaqueu","Simão","Bartolomeu","Mateus","Mateus 9:9","Partindo dali, Jesus viu um homem chamado Mateus, sentado na coletoria, e lhe disse: “Seja meu seguidor.” Ele logo se levantou e o seguiu."
10049,"Qual filho de Davi se rebelou contra ele, tentando tomar o trono de Israel?","Absalão","Salomão","Adonias","Amnom","Absalão","2 Samuel 15:13","Mais tarde, um mensageiro foi dizer a Davi: “O coração dos homens de Israel está com Absalão.”"
10050,"Qual é o último livro da Bíblia, que contém uma revelação dada a João?","Apocalipse (Revelação)","Malaquias","Atos","Hebreus","Apocalipse (Revelação)","Apocalipse 1:1","Revelação de Jesus Cristo, que Deus lhe deu para mostrar aos seus escravos as coisas que têm de ocorrer em breve."
10051,"Quem foi a única mulher a servir como profetisa e juíza em Israel?","Débora","Jael","Ester","Rute","Débora","Juízes 4:4","Naquele tempo, Débora, uma profetisa, esposa de Lapidote, julgava Israel."
10052,"Sobre qual cordilheira a arca de Noé pousou após o Dilúvio?","Montes de Ararate","Monte Sinai","Monte Nebo","Monte Carmelo","Montes de Ararate","Gênesis 8:4","No sétimo mês, no dia 17 do mês, a arca pousou nos montes de Ararate."
10053,"A que profeta Jeová ordenou que se casasse com 'uma mulher de prostituição' como ilustração da infidelidade de Israel?","Oseias","Amós","Joel","Miqueias","Oseias","Oseias 1:2","Jeová disse a Oseias: “Vá, tome para si uma mulher de prostituição e tenha filhos de prostituição, pois a terra se desviou completamente de seguir a Jeová, cometendo prostituição.”"
10054,"Quais foram os dois espiões que trouxeram um relatório positivo sobre a Terra Prometida, confiando que Jeová os ajudaria a conquistá-la?","Josué e Calebe","Apenas Josué","Apenas Calebe","Nenhum deles","Josué e Calebe","Números 14:6-7","(6) E Josué, filho de Num, e Calebe, filho de Jefoné, que estavam entre os que haviam espiado a terra, rasgaram as suas roupas, (7) e disseram a toda a assembleia de Israel: “A terra que percorremos e espiamos é uma terra muito, muito boa.”"
10055,"Qual era o nome do sogro de Moisés, um sacerdote de Midiã?","Jetro","Labão","Ismael","Esaú","Jetro","Êxodo 3:1","Moisés se tornou pastor do rebanho de seu sogro Jetro, o sacerdote de Midiã."
10056,"Que rei de Babilônia sitiou Jerusalém, destruiu o templo e levou os judeus para o exílio?","Nabucodonosor","Ciro","Dario","Belsazar","Nabucodonosor","2 Reis 25:8-9","(8) ...Nabuzaradã, chefe da guarda, servo do rei de Babilônia, chegou a Jerusalém. (9) Ele queimou a casa de Jeová, o palácio do rei e todas as casas de Jerusalém..."
10057,"De qual tribo de Israel Jesus era descendente, sendo chamado de 'o Leão da tribo de Judá'?","Judá","Levi","Benjamim","José","Judá","Hebreus 7:14","Pois é bem claro que o nosso Senhor descendia de Judá..."
10058,"Qual apóstolo inicialmente duvidou da ressurreição de Jesus, dizendo que precisava ver e tocar as marcas dos pregos?","Tomé","Pedro","André","Filipe","Tomé","João 20:25","Por isso, os outros discípulos lhe disseram: “Vimos o Senhor!” Mas ele lhes disse: “A menos que eu veja nas suas mãos a marca dos pregos e ponha o meu dedo na marca dos pregos, e ponha a minha mão no seu lado, de modo algum acreditarei.”"
10059,"Qual era o nome da esposa de Isaque, que foi encontrada por um servo de Abraão perto de um poço?","Rebeca","Sara","Lia","Raquel","Rebeca","Gênesis 24:67","Depois Isaque a levou para a tenda de Sara, sua mãe. Ele tomou Rebeca e ela se tornou sua esposa; e ele a amou."
10060,"Que profeta foi alimentado por corvos perto do riacho de Querite durante uma seca?","Elias","Eliseu","Isaías","Jeremias","Elias","1 Reis 17:5-6","(5) Ele foi imediatamente e fez o que Jeová tinha mandado... (6) Os corvos lhe traziam pão e carne de manhã, e pão e carne à noitinha, e ele bebia do riacho."
10061,"Por quantos dias e noites Jesus jejuou no deserto antes de ser tentado pelo Diabo?","Quarenta","Três","Sete","Doze","Quarenta","Mateus 4:2","Depois de ter jejuado por 40 dias e 40 noites, ele sentiu fome."
10062,"Quem vendeu seu direito de primogênito a seu irmão Jacó por um prato de ensopado?","Esaú","Labão","Ismael","Ló","Esaú","Gênesis 25:33-34","(33) Jacó disse: “Jure-me primeiro!” E ele lhe jurou e vendeu seu direito de primogênito a Jacó. (34) Então Jacó deu a Esaú pão e ensopado de lentilhas..."
10063,"Em que cidade Paulo estava em prisão domiciliar quando escreveu várias de suas cartas, como Efésios e Filipenses?","Roma","Jerusalém","Atenas","Corinto","Roma","Atos 28:30","Assim, ele permaneceu por dois anos inteiros na sua própria casa alugada e recebia bondosamente a todos os que o procuravam."
10064,"Quem era o sumo sacerdote na época do julgamento e da condenação de Jesus?","Caifás","Anás","Zacarias","Abiatar","Caifás","Mateus 26:57","Os que prenderam Jesus o levaram à casa de Caifás, o sumo sacerdote, onde os escribas e os anciãos estavam reunidos."
10065,"Em qual vale ocorreu a famosa batalha entre Davi e Golias?","Vale de Elá","Vale de Jaboque","Vale de Sidim","Vale de Acor","Vale de Elá","1 Samuel 17:2","Saul e os homens de Israel se reuniram e acamparam no vale de Elá, e se puseram em formação de batalha para lutar contra os filisteus."
10066,"Qual das esposas de Jacó ele amou mais, trabalhando 14 anos por ela?","Raquel","Lia","Bila","Zilpa","Raquel","Gênesis 29:30","E ele teve também relações com Raquel e amava mais a Raquel do que a Lia; e trabalhou com Labão por mais sete anos."
10067,"Qual livro da Bíblia é uma coleção de 150 cânticos e orações poéticas?","Salmos","Provérbios","Cânticos","Jó","Salmos","(Introdução ao livro de Salmos)"
10068,"Que autoridade romana lavou as mãos diante da multidão, declarando-se inocente do sangue de Jesus?","Pôncio Pilatos","Herodes Antipas","Félix","Festo","Pôncio Pilatos","Mateus 27:24","Vendo que isso não adiantava nada, mas, ao contrário, estava começando um tumulto, Pilatos pegou água, lavou as mãos diante da multidão e disse: “Sou inocente do sangue deste homem. A responsabilidade é de vocês.”"
10069,"Qual foi o nome do primeiro filho de Adão e Eva?","Caim","Abel","Sete","Enoque","Caim","Gênesis 4:1","Adão teve relações com Eva, sua esposa, e ela ficou grávida. Com o tempo ela deu à luz Caim e disse: “Gerei um filho com a ajuda de Jeová.”"
10070,"Qual livro do Pentateuco trata principalmente de leis sobre sacrifícios, pureza e santidade do povo de Israel?","Levítico","Gênesis","Êxodo","Deuteronômio","Levítico","(Introdução ao livro de Levítico)"
10071,"Quem foi obrigado pelos soldados romanos a ajudar Jesus a carregar a estaca de tortura?","Simão de Cirene","José de Arimateia","Nicodemos","Barrabás","Simão de Cirene","Marcos 15:21","E obrigaram um homem que passava por ali, Simão de Cirene, pai de Alexandre e de Rufo, que vinha do campo, a carregar a estaca de tortura dele."
10072,"Qual foi o nome da torre que homens começaram a construir para 'fazer um nome famoso para si mesmos', resultando na confusão de línguas?","Torre de Babel","Torre de Davi","Torre de Siloé","Torre dos Ventos","Torre de Babel","Gênesis 11:4, 9","(4) Disseram então: “Vamos! Construamos para nós uma cidade e também uma torre com o seu topo nos céus, e façamos um nome famoso para nós...” (9) É por isso que a cidade foi chamada de Babel..."
10073,"Após a pregação de que profeta, o rei de Nínive se arrependeu, cobrindo-se de saco e sentando-se em cinzas?","Jonas","Naum","Sofonias","Amós","Jonas","Jonas 3:6","Quando a notícia chegou ao rei de Nínive, ele se levantou do seu trono, tirou a sua veste real, cobriu-se de saco e se sentou em cinzas."
10074,"Em que jardim Jesus orou intensamente a Jeová antes de ser preso?","Getsêmani","Jardim do Éden","Gólgota","Horto do Rei","Getsêmani","Mateus 26:36","Então Jesus foi com eles a um lugar chamado Getsêmani e disse aos discípulos: “Sentem-se aqui, enquanto eu vou até ali para orar.”"
10075,"Qual autor de Evangelho era médico e acompanhou o apóstolo Paulo em algumas de suas viagens?","Lucas","Mateus","Marcos","João","Lucas","Colossenses 4:14","Lucas, o médico amado, manda lembranças a vocês..."
10076,"Quem decifrou a misteriosa escrita na parede durante o banquete do rei Belsazar?","Daniel","Sadraque","Mesaque","Abednego","Daniel","Daniel 5:12","...portanto, que se chame Daniel, para que ele revele a interpretação."
10077,"Qual é a primeira das bem-aventuranças mencionadas por Jesus no Sermão do Monte?","Felizes os que têm consciência de sua necessidade espiritual","Felizes os que choram","Felizes os de temperamento brando","Felizes os que têm fome e sede de justiça","Felizes os que têm consciência de sua necessidade espiritual","Mateus 5:3","“Felizes os que têm consciência de sua necessidade espiritual, pois a eles pertence o Reino dos céus.”"
10078,"Quem era o avô do Rei Davi?","Obede","Jessé","Boaz","Salmom","Obede","Rute 4:17","As vizinhas lhe deram um nome, dizendo: “Nasceu um filho a Noemi.” E o chamaram de Obede. Ele é o pai de Jessé, pai de Davi."
10079,"Qual era o nome da mulher que morava em Jericó e escondeu os dois espiões israelitas?","Raabe","Débora","Jael","Rute","Raabe","Josué 2:1, 4","(1) ...Josué, filho de Num, enviou secretamente de Sitim dois homens como espiões, dizendo: “Vão e observem a terra e Jericó.” ...e entraram na casa de uma prostituta chamada Raabe... (4) Nesse meio-tempo, a mulher escondeu os dois homens."
10080,"Qual apóstolo começou a andar sobre as águas em direção a Jesus, mas depois ficou com medo e começou a afundar?","Pedro","João","Tiago","André","Pedro","Mateus 14:29-30","(29) Ele disse: “Venha!” Então Pedro desceu do barco e andou sobre as águas, e foi em direção a Jesus. (30) Mas, olhando para a tempestade de vento, ficou com medo. E, começando a afundar, gritou: “Senhor, salve-me!”"
10081,"Quantos livros das Crônicas existem nas Escrituras Hebraicas?","Dois (1 e 2 Crônicas)","Um","Três","Quatro","Dois (1 e 2 Crônicas)","(Estrutura da Bíblia)"
10082,"Quem era o pai de Abrão (mais tarde Abraão)?","Tera","Naor","Harã","Ló","Tera","Gênesis 11:26","Tera viveu 70 anos e depois se tornou pai de Abrão, de Naor e de Harã."
10083,"Quem foi um dos principais companheiros de viagem missionária de Paulo, sendo preso com ele em Filipos?","Silas","Barnabé","Timóteo","Lucas","Silas","Atos 16:25","Por volta da meia-noite, Paulo e Silas estavam orando e louvando a Deus com cânticos, e os outros presos os escutavam."
10084,"Qual festa anual os israelitas celebravam para lembrar sua libertação da escravidão no Egito?","Páscoa","Pentecostes","Festividade das Barracas","Purim","Páscoa","Êxodo 12:27","...vocês devem dizer: ‘Este é o sacrifício da Páscoa a Jeová, que passou por cima das casas dos israelitas no Egito quando feriu os egípcios, mas livrou as nossas casas.’”"
10085,"A que profeta Jeová mostrou uma visão de um vale cheio de ossos secos que voltaram a viver?","Ezequiel","Isaías","Jeremias","Daniel","Ezequiel","Ezequiel 37:1, 4-5","(1) A mão de Jeová veio sobre mim... e me pôs no meio de um vale que estava cheio de ossos. (4) Então ele me disse: “Profetize a estes ossos... (5) Assim diz o Soberano Senhor Jeová a estes ossos: ‘Farei entrar em vocês fôlego de vida, e vocês voltarão a viver.’”"
10086,"Que homem rico e membro do Sinédrio pediu o corpo de Jesus a Pilatos e o sepultou em seu próprio túmulo novo?","José de Arimateia","Nicodemos","Lázaro","Zaqueu","José de Arimateia","Mateus 27:57-60","(57) Ao entardecer, veio um homem rico de Arimateia, chamado José, que também tinha se tornado discípulo de Jesus. (58) Esse homem foi até Pilatos e pediu o corpo de Jesus... (60) e o deitou no seu túmulo novo, que ele havia escavado na rocha."
10087,"Qual era a nacionalidade de Rute, que se tornou ancestral de Davi?","Moabita","Israelita","Egípcia","Cananeia","Moabita","Rute 1:4","Eles se casaram com mulheres moabitas. O nome de uma era Orfa, e o da outra, Rute."
10088,"Que profeta desafiou 450 profetas de Baal no monte Carmelo para provar quem era o Deus verdadeiro?","Elias","Eliseu","Moisés","Samuel","Elias","1 Reis 18:22, 38","(22) Elias disse então ao povo: “Somente eu restei como profeta de Jeová, ao passo que os profetas de Baal são 450 homens.” ... (38) Nisso caiu fogo da parte de Jeová e consumiu a oferta queimada..."
10089,"Qual era o nome da esposa de Nabal, que agiu com sabedoria para evitar que Davi se vingasse de seu marido insensato?","Abigail","Mical","Bate-Seba","Ainoã","Abigail","1 Samuel 25:3, 32-33","(3) O homem se chamava Nabal, e sua esposa, Abigail... (32) Davi disse então a Abigail: “Louvado seja Jeová, o Deus de Israel, que hoje a enviou ao meu encontro! (33) Bendita seja a sua sensatez...”"
10090,"Qual filho de Isaque e Rebeca teve seu nome mudado para Israel depois de lutar com um anjo?","Jacó","Esaú","José","Judá","Jacó","Gênesis 32:28","Então o homem disse: “Seu nome não será mais Jacó, mas sim Israel, pois você lutou com Deus e com homens, e por fim venceu.”"
10091,"Quantos leprosos Jesus curou de uma só vez, dos quais apenas um, um samaritano, voltou para agradecer?","Dez","Doze","Sete","Três","Dez","Lucas 17:12, 17","(12) ...dez leprosos o encontraram... (17) Em resposta, Jesus disse: “Os dez foram purificados, não foram? Onde estão, então, os outros nove?”"
10092,"Quem foi o primeiro rei do reino de dez tribos de Israel, após a divisão da nação?","Jeroboão","Roboão","Saul","Davi","Jeroboão","1 Reis 12:20","Assim que todo o Israel soube que Jeroboão tinha voltado, eles o convocaram... e o fizeram rei sobre todo o Israel."
10093,"Quem foi o autor humano do livro de Apocalipse (Revelação)?","Apóstolo João","Apóstolo Paulo","Apóstolo Pedro","Tiago, irmão de Jesus","Apóstolo João","Apocalipse 1:1","Revelação de Jesus Cristo, que Deus lhe deu... E ele enviou o seu anjo e, por meio dele, a apresentou em sinais ao seu escravo João."
10094,"Qual era o nome do amigo de Jesus que ele ressuscitou dos mortos em Betânia?","Lázaro","Simão","Judas","André","Lázaro","João 11:43-44","(43) Depois de dizer essas coisas, ele gritou com voz alta: “Lázaro, venha para fora!” (44) O homem que estava morto saiu..."
10095,"Que juiz fez um voto precipitado que o levou a oferecer sua filha em serviço no tabernáculo?","Jefté","Gideão","Sansão","Samuel","Jefté","Juízes 11:30-31, 34-35","(30) Jefté fez então o seguinte voto a Jeová: “Se me entregares os amonitas, (31) aquele que sair da porta da minha casa para me encontrar... pertencerá a Jeová...” (34) Quando Jefté voltou para casa, em Mispá, eis que a sua filha vinha ao seu encontro... (35) ...ele rasgou as suas roupas e disse: “Ah, minha filha! Você partiu o meu coração.”"
10096,"Para qual rei Jeová deu um sinal milagroso, fazendo a sombra do sol retroceder dez degraus?","Ezequias","Josias","Acaz","Salomão","Ezequias","2 Reis 20:9-11","(9) Isaías respondeu: “Este é o sinal da parte de Jeová... farei a sombra retroceder dez degraus?”... (11) Então o profeta Isaías clamou a Jeová, e Ele fez a sombra... retroceder dez degraus."
10097,"Qual evangelizador explicou uma profecia de Isaías a um oficial etíope, levando ao seu batismo?","Filipe","Estêvão","Prócoro","Nicanor","Filipe","Atos 8:30, 35","(30) Filipe correu ao lado do carro e o ouviu lendo em voz alta o profeta Isaías... (35) Filipe começou a falar e, começando com essa passagem das Escrituras, declarou-lhe as boas novas a respeito de Jesus."
10098,"Qual livro descreve a liderança na reconstrução dos muros de Jerusalém em meio a grande oposição?","Neemias","Esdras","Ageu","Zacarias","Neemias","Neemias 6:15","Por fim, a muralha ficou pronta no dia 25 de elul, em 52 dias."
